,Title,Published_date,Views,Likes,Dislikes,Comments,Month
70,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20 13:00:20+00:00,12618,530,0,112,Aug
71,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07 14:00:11+00:00,9961,425,0,32,Aug
72,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06 23:04:24+00:00,39688,1546,0,30,Aug
73,How I Learned to Learn.,2021-07-31 13:00:26+00:00,50416,2340,0,207,Jul
74,Is Spotify Shuffle Really Random? #Shorts,2021-07-21 13:00:21+00:00,10008,563,0,50,Jul
75,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16 21:30:26+00:00,2373,93,0,30,Jul
76,Why are APIs Important for Data Science?,2021-07-09 13:00:32+00:00,9422,444,0,95,Jul
77,Is Your Phone REALLY Listening to You?,2021-07-03 13:00:31+00:00,5132,278,0,116,Jul
78,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25 13:00:12+00:00,13943,568,0,120,Jun
79,#66DaysOfData - 3 Reasons to Start!,2021-06-18 13:00:32+00:00,4061,225,0,41,Jun
80,#66DaysOfData - What is it? #shorts,2021-06-11 12:48:29+00:00,8839,383,0,54,Jun
81,A Quick Data Science Project Tip! #SHORTS,2021-06-03 13:00:06+00:00,16356,994,0,89,Jun
82,Discouraged with Data Science? - Watch THIS video.,2021-05-28 13:00:02+00:00,7394,392,0,195,May
83,How Data Science Projects Pay Off,2021-05-22 13:30:03+00:00,10437,589,0,146,May
84,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14 13:00:03+00:00,10444,485,0,134,May
85,What is a lambda function (python)? #shorts,2021-05-13 00:38:55+00:00,14409,895,0,49,May
86,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07 13:00:30+00:00,25203,1355,0,59,May
87,What is Pandas? (Data & Data Science) #shorts,2021-04-30 13:00:07+00:00,22450,1132,0,87,Apr
88,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23 13:00:14+00:00,75501,3365,0,281,Apr
89,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16 13:00:00+00:00,23274,686,0,85,Apr
90,Why You Probably Won't Become a Data Scientist,2021-04-09 13:00:31+00:00,135564,3980,0,482,Apr
91,How to Go From Data Analyst to Data Scientist,2021-04-02 13:00:14+00:00,52317,1500,0,173,Apr
92,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26 13:00:03+00:00,3944,138,0,92,Mar
93,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19 13:00:32+00:00,18075,350,0,108,Mar
94,My Regrets as a Data Science Student,2021-03-12 13:00:27+00:00,23665,874,0,112,Mar
95,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08 13:00:06+00:00,3811,195,0,83,Mar
96,What is the Future of my Comment Leaderboard Project?,2021-02-26 14:00:15+00:00,5542,201,0,81,Feb
97,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19 13:00:14+00:00,6495,172,0,51,Feb
98,Why I Quit Data Science,2021-02-12 13:00:19+00:00,104243,2342,0,348,Feb
99,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29 13:00:06+00:00,10441,540,0,116,Jan
100,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23 14:00:30+00:00,6981,295,0,126,Jan
101,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16 14:00:10+00:00,9337,297,0,52,Jan
102,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08 13:00:16+00:00,21633,692,0,134,Jan
103,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02 14:00:26+00:00,36041,1125,0,147,Jan
104,What is the #66DaysOfData?,2020-12-26 14:00:31+00:00,68807,2301,0,210,Dec
105,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19 14:00:01+00:00,131035,5971,0,494,Dec
106,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10 13:00:09+00:00,10699,395,0,136,Dec
107,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07 14:00:11+00:00,23249,723,0,328,Dec
108,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20 13:00:26+00:00,26692,828,0,167,Nov
109,6 Lessons from #66DaysOfData,2020-11-13 13:00:02+00:00,6684,340,0,95,Nov
110,100K Channel Update + AMA Stream!,2020-11-12 17:34:26+00:00,2318,127,0,24,Nov
111,Find a Data Science Project With These 3 Techniques,2020-11-06 13:00:13+00:00,16493,720,0,106,Nov
112,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30 14:00:07+00:00,25767,656,0,156,Oct
113,git for Data Science Made Simple... (Hopefully),2020-10-23 15:00:10+00:00,18324,836,0,92,Oct
114,The PODCAST you might have asked for?,2020-10-19 15:00:11+00:00,2096,94,0,44,Oct
115,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16 15:00:18+00:00,6663,446,0,113,Oct
116,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14 15:00:11+00:00,13573,398,0,48,Oct
117,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12 15:00:00+00:00,6560,141,0,62,Oct
118,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09 15:00:09+00:00,10583,542,0,83,Oct
119,Sh*t Data Scientists Say (Parody),2020-10-05 15:00:08+00:00,9349,574,0,143,Oct
120,5 Proven Strategies to Break into a Data Science Job,2020-10-02 15:00:08+00:00,8566,366,0,93,Oct
121,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30 15:00:09+00:00,7041,289,0,61,Sep
122,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28 15:00:04+00:00,11334,288,0,69,Sep
123,5 Essential Data Science Projects for Your Portfolio,2020-09-26 15:00:06+00:00,71039,3059,0,208,Sep
124,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23 15:00:02+00:00,5150,196,0,64,Sep
125,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21 15:00:03+00:00,10818,435,0,58,Sep
126,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18 16:00:10+00:00,7348,250,0,34,Sep
127,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16 15:00:24+00:00,5076,193,0,56,Sep
128,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14 15:00:00+00:00,4137,157,0,35,Sep
129,The 5 Pillars of Success I Live By,2020-09-11 15:00:11+00:00,10102,872,0,152,Sep
130,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09 15:00:12+00:00,1884,78,0,25,Sep
131,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07 15:00:30+00:00,3980,161,0,43,Sep
132,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04 15:00:00+00:00,11655,733,0,144,Sep
133,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02 15:00:13+00:00,17813,566,0,89,Sep
134,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31 15:00:15+00:00,17476,784,0,93,Aug
135,Why I'm Starting Data Science Over Again.,2020-08-29 15:30:10+00:00,50637,2606,0,450,Aug
136,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26 15:00:03+00:00,14889,621,0,76,Aug
137,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24 15:00:31+00:00,12550,453,0,55,Aug
138,Don't Buy My Course..,2020-08-21 16:00:32+00:00,7317,357,0,146,Aug
139,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19 15:00:11+00:00,28941,1108,0,166,Aug
140,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17 15:00:07+00:00,3208,128,0,40,Aug
141,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14 15:00:31+00:00,6277,535,0,108,Aug
142,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12 15:30:26+00:00,4911,184,0,39,Aug
143,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10 15:00:08+00:00,11139,366,0,53,Aug
144,The Plagiarism Problem in Data Science,2020-08-07 15:00:16+00:00,13021,630,0,145,Aug
145,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05 15:00:09+00:00,14283,601,0,89,Aug
146,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03 15:00:08+00:00,4862,187,0,56,Aug
147,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31 14:30:01+00:00,11191,574,0,90,Jul
148,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30 01:00:10+00:00,2302,115,0,34,Jul
149,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27 15:00:30+00:00,5542,251,0,112,Jul
150,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24 15:00:11+00:00,8149,247,0,200,Jul
151,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22 15:00:05+00:00,1846,98,0,27,Jul
152,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20 15:00:08+00:00,28570,561,0,90,Jul
153,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17 16:00:05+00:00,301521,6824,0,407,Jul
154,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16 02:00:09+00:00,29999,1119,0,121,Jul
155,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13 16:00:01+00:00,3598,135,0,50,Jul
156,The Best Computer for Data Science Beginners,2020-07-10 16:00:09+00:00,36523,835,0,157,Jul
157,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08 21:00:09+00:00,6122,228,0,82,Jul
158,Critiquing MY OWN Data Science Resume,2020-07-06 16:00:30+00:00,12529,396,0,88,Jul
159,Where to Start Learning Data Science,2020-07-03 16:00:04+00:00,18502,779,0,126,Jul
160,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01 15:00:12+00:00,4070,197,0,37,Jul
161,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29 15:00:08+00:00,4545,178,0,54,Jun
162,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26 15:00:10+00:00,15850,545,0,79,Jun
163,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22 13:00:03+00:00,2387,82,0,40,Jun
164,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20 02:09:18+00:00,2378,139,0,49,Jun
165,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15 13:00:12+00:00,4294,166,0,46,Jun
166,Why You're Struggling to Learn Data Science,2020-06-12 13:00:17+00:00,15171,1010,0,159,Jun
167,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08 13:00:21+00:00,11197,345,0,70,Jun
168,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05 13:00:26+00:00,23021,674,0,146,Jun
169,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01 13:00:32+00:00,5681,156,0,53,Jun
170,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29 13:00:21+00:00,67055,2098,0,266,May
171,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25 13:00:13+00:00,20931,489,0,81,May
172,Different Data Science Roles Explained (by a Data Scientist),2020-05-22 13:01:09+00:00,53093,1906,0,176,May
173,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18 13:00:22+00:00,11213,178,0,55,May
174,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15 13:30:00+00:00,118650,4144,0,192,May
175,10000 Subscriber and 100th Video Special (Data Science),2020-05-13 13:00:17+00:00,3097,146,0,115,May
176,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11 13:00:33+00:00,4459,153,0,74,May
177,How I Would Learn Data Science (If I Had to Start Over),2020-05-08 13:00:03+00:00,1387412,48959,0,2000,May
178,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04 13:00:12+00:00,5423,195,0,42,May
179,What You Need to Know for a Data Science Internship,2020-05-01 13:00:10+00:00,20541,1141,0,59,May
180,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27 13:00:10+00:00,8269,348,0,54,Apr
181,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24 13:00:32+00:00,14963,460,0,103,Apr
182,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22 13:00:30+00:00,3075,85,0,24,Apr
183,5 Tips for Crushing the Work From Home Life,2020-04-20 13:00:04+00:00,5370,201,0,38,Apr
184,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17 13:00:04+00:00,18916,692,0,126,Apr
185,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15 13:00:32+00:00,26473,693,0,98,Apr
186,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13 13:00:03+00:00,40093,849,0,153,Apr
187,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10 13:00:15+00:00,66727,1804,0,211,Apr
188,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08 13:00:19+00:00,72747,1657,0,270,Apr
189,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06 13:00:07+00:00,111561,3199,0,610,Apr
190,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03 13:00:12+00:00,168614,4490,0,165,Apr
191,When Data Science Goes Wrong,2020-03-30 13:00:06+00:00,1790,105,0,32,Mar
192,How to ULTRALEARN Data Science,2020-03-27 13:00:02+00:00,61245,3815,0,169,Mar
193,Why Right NOW is a Great Time to Learn Data Science,2020-03-23 13:00:30+00:00,4348,267,0,50,Mar
194,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20 13:00:22+00:00,12486,463,0,45,Mar
195,The Secret Data Scientists Don't Want You to Know,2020-03-16 13:00:23+00:00,10600,1137,0,105,Mar
196,The 5 Stages of Learning Data Science,2020-03-13 13:00:26+00:00,17306,1292,0,78,Mar
197,Can You Learn Data Science Without a Computer?,2020-03-11 13:00:03+00:00,1572,107,0,14,Mar
198,The Best Free Data Science Courses Nobody is Talking About,2020-03-09 13:00:04+00:00,340209,20987,0,620,Mar
199,The Data Science Projects that Got Me a Job,2020-03-06 14:00:11+00:00,40079,1389,0,41,Mar
200,How to Integrate Data Science into Your Business,2020-03-02 14:00:01+00:00,3351,127,0,18,Mar
201,The Problem with Data Science,2020-02-28 14:00:07+00:00,3762,155,0,19,Feb
202,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24 14:00:00+00:00,1135,45,0,16,Feb
203,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21 14:00:02+00:00,118261,2317,0,99,Feb
204,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17 14:00:04+00:00,318765,17536,0,519,Feb
205,Data Science Advice for College Students,2020-02-14 17:22:37+00:00,68576,1956,0,197,Feb
206,Avoid These Data Science Resume Mistakes!,2020-02-10 15:52:59+00:00,27699,1223,0,60,Feb
207,Data Science Explained with ... Cooking?,2020-02-07 15:56:55+00:00,5051,306,0,48,Feb
208,The 4 Types of Sports Analytics Projects,2020-02-03 16:35:19+00:00,28648,955,0,60,Feb
209,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31 18:50:23+00:00,571,18,0,13,Jan
210,How I Learned Data Science,2020-01-27 14:41:18+00:00,93302,2672,0,210,Jan
211,What is Sports Analytics Really?,2020-01-20 14:00:00+00:00,20169,593,0,73,Jan
212,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18 01:03:08+00:00,109400,3108,0,579,Jan
213,How To Learn Programming for Data Science [3 Steps],2020-01-13 16:48:44+00:00,29811,1976,0,96,Jan
214,Data Science Fundamentals: SQL Queries,2020-01-10 19:15:01+00:00,6174,210,0,34,Jan
215,Questions You Should Ask Your Data Science Interviewers,2020-01-06 14:00:04+00:00,3083,149,0,14,Jan
216,The 9 Books That Changed My Perspective in 2019,2020-01-03 14:45:28+00:00,3351,179,0,25,Jan
217,The Data Science Interview: What to Expect,2019-12-30 14:00:01+00:00,8336,373,0,32,Dec
218,5 Data Science Resolutions for 2020,2019-12-27 14:00:07+00:00,474,25,0,12,Dec
219,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23 12:59:47+00:00,16061,567,0,92,Dec
220,Collision Course: Sports Betting + Data Science,2019-12-20 14:00:02+00:00,16405,479,0,27,Dec
221,3 Reasons You Should NOT Become a Data Scientist,2019-12-16 18:46:58+00:00,100607,2938,0,205,Dec
222,5 Sports Analytics Books to Get You Started,2019-12-13 14:00:01+00:00,10320,388,0,57,Dec
223,Math Needed for Mastering Data Science,2019-12-09 14:00:15+00:00,55642,2843,0,222,Dec
224,The 5 Stages of Data Science Adoption,2019-12-06 14:00:04+00:00,1304,68,0,17,Dec
225,How YOU Can Land a Sports Analytics Job,2019-12-02 14:00:05+00:00,66751,2977,0,227,Dec
226,Data Science Fundamentals: Linear Regression,2019-11-29 14:00:02+00:00,6208,171,0,42,Nov
227,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25 14:00:11+00:00,1009,50,0,12,Nov
228,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22 14:00:06+00:00,5800,265,0,26,Nov
229,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18 15:34:12+00:00,45709,1746,0,80,Nov
230,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11 21:12:11+00:00,5891,136,0,31,Nov
231,Why Selling Is An Important Data Science Skill,2019-11-04 14:57:00+00:00,1598,79,0,13,Nov
232,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21 16:38:58+00:00,2739,73,0,18,Oct
233,Why is Balance Important in Data Science?,2019-10-16 17:40:34+00:00,692,32,0,13,Oct
234,How to Stay Productive & Motivated When Learning Data Science,2019-09-29 00:29:59+00:00,11694,578,0,54,Sep
235,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21 23:04:57+00:00,3678,113,0,31,Sep
236,6 Habits of Successful Data Scientists,2019-09-13 04:40:51+00:00,2175,94,0,17,Sep
237,How To Build A Word Cloud From Scraped Data (Python),2019-09-04 01:32:06+00:00,4244,95,0,9,Sep
238,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26 12:42:32+00:00,518,24,0,29,Aug
239,Is Data Science Right For You?,2019-08-18 16:54:05+00:00,49892,1161,0,109,Aug
240,Data Science Fundamentals: Data Cleaning in Python,2019-08-11 20:50:23+00:00,14467,387,0,55,Aug
241,How To Get Data Science Experience (Without a Job),2019-08-08 01:58:40+00:00,28965,1376,0,75,Aug
242,Take Your Data Science Projects From Good to Great,2019-08-05 02:34:28+00:00,1584,107,0,11,Aug
243,The Projects You Should Do To Get A Data Science Job,2019-07-30 03:35:48+00:00,147934,5662,0,252,Jul
244,What Does a Data Scientist Actually Do?,2019-07-19 03:18:04+00:00,35191,1178,0,82,Jul
245,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13 21:09:41+00:00,12670,347,0,42,Jul
246,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05 14:29:49+00:00,17383,517,0,61,Jul
247,Data Science: Pros and Cons,2019-06-30 15:26:49+00:00,5124,212,0,18,Jun
248,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21 04:33:34+00:00,24055,1166,0,89,Jun
249,My Top 5 Data Science Internship Tips,2019-06-15 15:28:26+00:00,11631,480,0,23,Jun
