"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2023","79,100.0","79,500.0","84,500.0","78,900.0","415.90K","2.06%"
"05/10/2023","77,500.0","79,200.0","79,600.0","77,500.0","529.10K","-1.77%"
"05/09/2023","78,900.0","78,000.0","79,800.0","78,000.0","580.90K","0.51%"
"05/08/2023","78,500.0","78,500.0","78,900.0","78,400.0","362.90K","0.13%"
"05/05/2023","78,400.0","78,600.0","78,600.0","78,200.0","319.20K","-0.13%"
"05/04/2023","78,500.0","77,800.0","78,700.0","77,600.0","497.20K","1.29%"
"04/28/2023","77,500.0","78,800.0","78,800.0","77,500.0","945.60K","-1.02%"
"04/27/2023","78,300.0","78,100.0","78,800.0","78,100.0","221.00K","0.00%"
"04/26/2023","78,300.0","78,100.0","78,400.0","77,600.0","772.00K","-0.13%"
"04/25/2023","78,400.0","79,100.0","79,300.0","78,300.0","540.00K","-0.88%"
"04/24/2023","79,100.0","79,500.0","80,600.0","79,000.0","794.50K","-0.25%"
"04/21/2023","79,300.0","80,000.0","80,000.0","79,300.0","324.00K","-0.13%"
"04/20/2023","79,400.0","79,800.0","79,800.0","79,200.0","364.40K","0.13%"
"04/19/2023","79,300.0","79,800.0","79,800.0","79,300.0","419.80K","-0.13%"
"04/18/2023","79,400.0","79,600.0","80,000.0","79,200.0","301.60K","-0.25%"
"04/17/2023","79,600.0","79,600.0","79,700.0","79,000.0","449.90K","0.00%"
"04/14/2023","79,600.0","79,900.0","80,100.0","79,300.0","398.80K","0.00%"
"04/13/2023","79,600.0","80,300.0","80,400.0","79,300.0","540.50K","-0.87%"
"04/12/2023","80,300.0","80,300.0","80,500.0","79,900.0","574.70K","0.00%"
"04/11/2023","80,300.0","80,200.0","80,500.0","80,100.0","534.00K","0.00%"
"04/10/2023","80,300.0","81,000.0","81,000.0","80,100.0","769.80K","-0.25%"
"04/07/2023","80,500.0","80,200.0","80,700.0","80,000.0","359.80K","0.25%"
"04/06/2023","80,300.0","80,700.0","81,500.0","80,300.0","612.90K","-0.37%"
"04/05/2023","80,600.0","80,500.0","80,600.0","79,700.0","422.00K","0.12%"
"04/04/2023","80,500.0","80,900.0","81,000.0","80,000.0","584.60K","-0.49%"
"04/03/2023","80,900.0","79,400.0","80,900.0","79,100.0","1.17M","2.28%"
"03/31/2023","79,100.0","79,100.0","79,500.0","79,000.0","671.60K","0.00%"
"03/30/2023","79,100.0","79,000.0","79,300.0","78,800.0","408.40K","0.13%"
"03/29/2023","79,000.0","79,200.0","79,300.0","78,600.0","404.50K","-0.25%"
"03/28/2023","79,200.0","79,200.0","79,200.0","77,500.0","1.00M","0.13%"
"03/27/2023","79,100.0","78,900.0","79,200.0","78,500.0","767.20K","0.64%"
"03/24/2023","78,600.0","78,300.0","78,800.0","78,000.0","366.70K","0.77%"
"03/23/2023","78,000.0","78,400.0","78,500.0","77,600.0","356.60K","-0.64%"
"03/22/2023","78,500.0","78,200.0","78,600.0","77,600.0","610.40K","0.51%"
"03/21/2023","78,100.0","78,600.0","78,700.0","77,100.0","536.20K","0.64%"
"03/20/2023","77,600.0","79,100.0","79,300.0","77,600.0","769.80K","-1.77%"
"03/17/2023","79,000.0","79,600.0","80,000.0","78,600.0","429.40K","-0.25%"
"03/16/2023","79,200.0","80,000.0","80,000.0","78,400.0","850.00K","-1.61%"
